QKEY,F_INC_SDT1,F_EDUCCAT,F_AGECAT,F_GENDER,F_RACECMB,F_RACETHNMOD,CHATUSE_W152,USEAI_W152
307718,1.0,1.0,3.0,1.0,3.0,5.0,1.0,2.0
308926,,1.0,3.0,1.0,,,0.0,3.0
309053,7.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0
310985,3.0,1.0,4.0,2.0,1.0,1.0,,2.0
314113,5.0,3.0,4.0,2.0,1.0,1.0,,5.0
314294,9.0,1.0,4.0,2.0,1.0,1.0,0.0,5.0
314546,8.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0
315155,8.0,1.0,4.0,2.0,1.0,1.0,0.0,2.0
317737,,2.0,4.0,2.0,1.0,1.0,0.0,2.0
318542,9.0,1.0,4.0,1.0,1.0,1.0,,4.0
323595,9.0,3.0,3.0,2.0,1.0,1.0,,2.0
324919,2.0,2.0,4.0,1.0,1.0,1.0,,5.0
324930,9.0,1.0,3.0,1.0,4.0,4.0,1.0,2.0
326974,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0
329545,7.0,2.0,4.0,2.0,1.0,1.0,0.0,2.0
330324,9.0,2.0,4.0,1.0,4.0,3.0,,4.0
331946,9.0,3.0,3.0,1.0,1.0,1.0,0.0,5.0
333245,3.0,3.0,4.0,2.0,1.0,1.0,,5.0
336843,1.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0
339183,5.0,3.0,3.0,2.0,1.0,1.0,,3.0
339573,5.0,2.0,3.0,2.0,1.0,3.0,,5.0
340705,9.0,2.0,3.0,2.0,1.0,1.0,0.0,2.0
341538,2.0,2.0,4.0,1.0,2.0,2.0,,5.0
341801,9.0,2.0,4.0,2.0,1.0,1.0,0.0,5.0
342298,8.0,1.0,4.0,1.0,1.0,1.0,,2.0
600116,6.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0
600226,5.0,2.0,4.0,1.0,1.0,1.0,0.0,3.0
600312,1.0,3.0,4.0,2.0,5.0,3.0,,5.0
600325,5.0,2.0,3.0,2.0,2.0,2.0,0.0,5.0
600689,9.0,1.0,4.0,1.0,1.0,1.0,,4.0
600775,7.0,3.0,3.0,1.0,2.0,2.0,1.0,5.0
601158,1.0,1.0,4.0,2.0,1.0,1.0,0.0,4.0
601394,6.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0
601493,6.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0
601754,9.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0
603590,9.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0
603718,2.0,1.0,3.0,1.0,2.0,2.0,,5.0
603769,6.0,1.0,4.0,1.0,5.0,4.0,0.0,4.0
604753,2.0,3.0,2.0,1.0,5.0,3.0,,5.0
605031,6.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0
605493,7.0,1.0,2.0,2.0,5.0,4.0,,2.0
606046,9.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0
606210,,2.0,3.0,1.0,2.0,2.0,,3.0
606454,4.0,2.0,4.0,1.0,1.0,1.0,,5.0
606761,8.0,1.0,4.0,1.0,1.0,1.0,,4.0
607371,1.0,2.0,2.0,2.0,5.0,3.0,1.0,4.0
608960,9.0,1.0,2.0,2.0,1.0,1.0,0.0,4.0
609379,1.0,3.0,4.0,2.0,1.0,3.0,,5.0
610035,9.0,1.0,2.0,1.0,1.0,3.0,1.0,
610190,9.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0
610217,4.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0
610281,4.0,2.0,4.0,1.0,1.0,1.0,,4.0
610814,1.0,1.0,3.0,2.0,2.0,2.0,,5.0
610816,8.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0
611890,7.0,2.0,3.0,1.0,2.0,2.0,0.0,4.0
612401,9.0,1.0,2.0,2.0,1.0,1.0,0.0,5.0
612650,1.0,2.0,4.0,2.0,1.0,1.0,0.0,5.0
613053,3.0,3.0,4.0,1.0,1.0,1.0,,5.0
613070,5.0,2.0,4.0,1.0,1.0,1.0,0.0,3.0
613169,9.0,1.0,4.0,2.0,1.0,1.0,0.0,5.0
613898,2.0,2.0,4.0,2.0,1.0,1.0,0.0,5.0
614200,4.0,3.0,3.0,2.0,3.0,5.0,,5.0
614506,6.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0
614926,9.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0
615441,6.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0
615814,9.0,1.0,4.0,1.0,1.0,3.0,,2.0
615859,6.0,1.0,2.0,1.0,1.0,1.0,0.0,5.0
616019,1.0,3.0,4.0,2.0,1.0,1.0,0.0,3.0
616040,,2.0,2.0,1.0,1.0,1.0,0.0,2.0
616473,1.0,3.0,4.0,1.0,1.0,1.0,,5.0
616524,9.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
617060,9.0,3.0,2.0,1.0,1.0,1.0,0.0,4.0
617352,9.0,1.0,3.0,2.0,1.0,1.0,,5.0
617761,9.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
617915,1.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0
617960,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
619244,1.0,3.0,2.0,2.0,2.0,2.0,,5.0
619452,5.0,1.0,4.0,1.0,1.0,1.0,0.0,4.0
619716,1.0,3.0,2.0,2.0,2.0,2.0,,5.0
620279,3.0,3.0,2.0,1.0,1.0,1.0,,5.0
621140,5.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
622345,7.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0
622422,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0
622962,9.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0
623771,9.0,3.0,2.0,1.0,1.0,1.0,,5.0
623809,7.0,1.0,2.0,2.0,1.0,1.0,,5.0
